feature,iteration,wall_secs,peak_mem_kb
feat_base,1,14.457,92584
feat_base,2,14.387,92640
feat_base,3,14.426,92552
feat_variants,1,14.408,93444
feat_variants,2,14.210,93636
feat_variants,3,14.266,93600
feat_gc_bias,1,14.488,92620
feat_gc_bias,2,14.337,92608
feat_gc_bias,3,14.785,92512
feat_artifacts,1,16.563,107380
feat_artifacts,2,16.769,107480
feat_artifacts,3,16.589,107472
feat_umi,1,34.676,275844
feat_umi,2,35.054,275036
feat_umi,3,35.387,276044
feat_all,1,42.488,323432
feat_all,2,43.234,324008
feat_all,3,43.136,323944
